simulation_second,mmsi,vessel_name,vessel_type,latitude,longitude,speed,course,heading
180,230901234,Kotka Meridian,Cargo,60.3278,26.8078,14.7,260.3,260.3
180,230112233,Porvoo Light,Tanker,60.1743,25.4906,11.9,306.3,306.3
180,230223344,Espoo Surveyor,Research,59.9935,24.4526,6.8,48.3,48.3
180,230334455,Loviisa Line,Passenger,60.2646,26.1438,18.5,222.3,222.3
180,230445566,Porkkala Wind,Cargo,59.9060,24.2127,13.6,81.3,81.3
180,230556677,Emasalo Trader,Tanker,60.0627,25.6367,12.7,282.3,282.3
180,230667788,Suomenlinna Ferry,Passenger,60.1501,24.9734,5.2,325.3,325.3
180,230778899,Archipelago One,Cargo,59.7601,23.7509,14.2,51.3,51.3
180,230889900,Gulf Sentinel,Service,59.9968,25.0401,8.1,128.3,128.3
180,230990011,Baltic Pioneer,Ro-Ro,59.9046,24.9266,19.1,338.3,338.3
180,230101112,Eastern Horizon,Cargo,60.1989,26.4521,15.9,248.3,248.3
180,230121314,Western Beacon,Fishing,59.7068,23.5308,7.4,35.3,35.3
240,230123456,Baltic Aurora,Cargo,60.0506,24.6750,18.2,90.4,90.4
240,230234567,Nordic Current,Passenger,59.7662,24.7322,21.2,21.4,21.4
240,230345678,Gulf Trader,Tanker,59.9288,25.1176,15.7,280.4,280.4
240,230456789,Harbor Scout,Service,60.0820,24.9257,7.7,111.4,111.4
240,230567890,Silver Skerry,Cargo,59.8352,24.3456,13.2,39.4,39.4
240,230678901,Katajanokka Star,Passenger,60.1052,24.9864,12.6,143.4,143.4
240,230789012,Vuosaari Runner,Container,60.1762,25.1692,17.0,242.4,242.4
240,230890123,Hanko Pilot,Service,59.8266,23.1408,9.5,76.4,76.4
240,230901234,Kotka Meridian,Cargo,60.3254,26.7954,14.9,261.4,261.4
240,230112233,Porvoo Light,Tanker,60.1774,25.4808,12.1,307.4,307.4
240,230223344,Espoo Surveyor,Research,59.9980,24.4568,7.0,49.4,49.4
240,230334455,Loviisa Line,Passenger,60.2578,26.1384,18.7,223.4,223.4
240,230445566,Porkkala Wind,Cargo,59.9080,24.2236,13.8,82.4,82.4
240,230556677,Emasalo Trader,Tanker,60.0636,25.6256,12.9,283.4,283.4
240,230667788,Suomenlinna Ferry,Passenger,60.1518,24.9712,5.4,326.4,326.4
240,230778899,Archipelago One,Cargo,59.7668,23.7612,14.4,52.4,52.4
240,230889900,Gulf Sentinel,Service,59.9924,25.0468,8.3,129.4,129.4
240,230990011,Baltic Pioneer,Ro-Ro,59.9128,24.9188,19.3,339.4,339.4
240,230101112,Eastern Horizon,Cargo,60.1952,26.4428,16.1,249.4,249.4
240,230121314,Western Beacon,Fishing,59.7124,23.5344,7.6,36.4,36.4
300,230123456,Baltic Aurora,Cargo,60.0507,24.6862,17.9,91.5,91.5
300,230234567,Nordic Current,Passenger,59.7777,24.7352,20.9,22.5,22.5
300,230345678,Gulf Trader,Tanker,59.9284,25.1070,15.4,281.5,281.5
300,230456789,Harbor Scout,Service,60.0787,24.9347,7.4,112.5,112.5
300,230567890,Silver Skerry,Cargo,59.8440,24.3544,12.9,40.5,40.5
300,230678901,Katajanokka Star,Passenger,60.0990,24.9930,12.3,144.5,144.5
300,230789012,Vuosaari Runner,Container,60.1715,25.1590,16.7,243.5,243.5
300,230890123,Hanko Pilot,Service,59.8295,23.1535,9.2,77.5,77.5
300,230901234,Kotka Meridian,Cargo,60.3230,26.7830,14.6,262.5,262.5
300,230112233,Porvoo Light,Tanker,60.1805,25.4710,11.8,308.5,308.5
300,230223344,Espoo Surveyor,Research,60.0025,24.4610,6.7,50.5,50.5
300,230334455,Loviisa Line,Passenger,60.2510,26.1330,18.4,224.5,224.5
300,230445566,Porkkala Wind,Cargo,59.9100,24.2345,13.5,83.5,83.5
300,230556677,Emasalo Trader,Tanker,60.0645,25.6145,12.6,284.5,284.5
300,230667788,Suomenlinna Ferry,Passenger,60.1535,24.9690,5.1,327.5,327.5
300,230778899,Archipelago One,Cargo,59.7735,23.7715,14.1,53.5,53.5
300,230889900,Gulf Sentinel,Service,59.9880,25.0535,8.0,130.5,130.5
300,230990011,Baltic Pioneer,Ro-Ro,59.9210,24.9110,19.0,340.5,340.5
300,230101112,Eastern Horizon,Cargo,60.1915,26.4335,15.8,250.5,250.5
300,230121314,Western Beacon,Fishing,59.7180,23.5380,7.3,37.5,37.5
360,230123456,Baltic Aurora,Cargo,60.0509,24.6975,18.0,92.6,92.6
360,230234567,Nordic Current,Passenger,59.7892,24.7382,21.0,23.6,23.6
360,230345678,Gulf Trader,Tanker,59.9281,25.0964,15.5,282.6,282.6
360,230456789,Harbor Scout,Service,60.0755,24.9436,7.5,113.6,113.6
360,230567890,Silver Skerry,Cargo,59.8528,24.3633,13.0,41.6,41.6
360,230678901,Katajanokka Star,Passenger,60.0928,24.9996,12.4,145.6,145.6
360,230789012,Vuosaari Runner,Container,60.1668,25.1488,16.8,244.6,244.6
360,230890123,Hanko Pilot,Service,59.8324,23.1662,9.3,78.6,78.6
360,230901234,Kotka Meridian,Cargo,60.3206,26.7706,14.7,263.6,263.6
360,230112233,Porvoo Light,Tanker,60.1836,25.4612,11.9,309.6,309.6
360,230223344,Espoo Surveyor,Research,60.0070,24.4652,6.8,51.6,51.6
360,230334455,Loviisa Line,Passenger,60.2442,26.1276,18.5,225.6,225.6
360,230445566,Porkkala Wind,Cargo,59.9120,24.2454,13.6,84.6,84.6
360,230556677,Emasalo Trader,Tanker,60.0654,25.6034,12.7,285.6,285.6
360,230667788,Suomenlinna Ferry,Passenger,60.1552,24.9668,5.2,328.6,328.6
360,230778899,Archipelago One,Cargo,59.7802,23.7818,14.2,54.6,54.6
360,230889900,Gulf Sentinel,Service,59.9836,25.0602,8.1,131.6,131.6
360,230990011,Baltic Pioneer,Ro-Ro,59.9292,24.9032,19.1,341.6,341.6
360,230101112,Eastern Horizon,Cargo,60.1878,26.4242,15.9,251.6,251.6
360,230121314,Western Beacon,Fishing,59.7236,23.5416,7.4,38.6,38.6
420,230123456,Baltic Aurora,Cargo,60.0510,24.7087,18.2,93.7,93.7
420,230234567,Nordic Current,Passenger,59.8008,24.7413,21.2,24.7,24.7
420,230345678,Gulf Trader,Tanker,59.9278,25.0858,15.7,283.7,283.7
420,230456789,Harbor Scout,Service,60.0722,24.9525,7.7,114.7,114.7
420,230567890,Silver Skerry,Cargo,59.8616,24.3722,13.2,42.7,42.7
420,230678901,Katajanokka Star,Passenger,60.0866,25.0062,12.6,146.7,146.7
420,230789012,Vuosaari Runner,Container,60.1621,25.1386,17.0,245.7,245.7
420,230890123,Hanko Pilot,Service,59.8353,23.1789,9.5,79.7,79.7
420,230901234,Kotka Meridian,Cargo,60.3182,26.7582,14.9,264.7,264.7
420,230112233,Porvoo Light,Tanker,60.1867,25.4514,12.1,310.7,310.7
420,230223344,Espoo Surveyor,Research,60.0115,24.4694,7.0,52.7,52.7
420,230334455,Loviisa Line,Passenger,60.2374,26.1222,18.7,226.7,226.7
420,230445566,Porkkala Wind,Cargo,59.9140,24.2563,13.8,85.7,85.7
420,230556677,Emasalo Trader,Tanker,60.0663,25.5923,12.9,286.7,286.7
420,230667788,Suomenlinna Ferry,Passenger,60.1569,24.9646,5.4,329.7,329.7
420,230778899,Archipelago One,Cargo,59.7869,23.7921,14.4,55.7,55.7
420,230889900,Gulf Sentinel,Service,59.9792,25.0669,8.3,132.7,132.7
420,230990011,Baltic Pioneer,Ro-Ro,59.9374,24.8954,19.3,342.7,342.7
420,230101112,Eastern Horizon,Cargo,60.1841,26.4149,16.1,252.7,252.7
420,230121314,Western Beacon,Fishing,59.7292,23.5452,7.6,39.7,39.7
480,230123456,Baltic Aurora,Cargo,60.0512,24.7200,17.9,94.8,94.8
480,230234567,Nordic Current,Passenger,59.8123,24.7443,20.9,25.8,25.8
480,230345678,Gulf Trader,Tanker,59.9275,25.0752,15.4,284.8,284.8
480,230456789,Harbor Scout,Service,60.0690,24.9614,7.4,115.8,115.8
480,230567890,Silver Skerry,Cargo,59.8704,24.3811,12.9,43.8,43.8
480,230678901,Katajanokka Star,Passenger,60.0804,25.0128,12.3,147.8,147.8
480,230789012,Vuosaari Runner,Container,60.1574,25.1284,16.7,246.8,246.8
480,230890123,Hanko Pilot,Service,59.8382,23.1916,9.2,80.8,80.8
480,230901234,Kotka Meridian,Cargo,60.3158,26.7458,14.6,265.8,265.8
480,230112233,Porvoo Light,Tanker,60.1898,25.4416,11.8,311.8,311.8
480,230223344,Espoo Surveyor,Research,60.0160,24.4736,6.7,53.8,53.8
480,230334455,Loviisa Line,Passenger,60.2306,26.1168,18.4,227.8,227.8
480,230445566,Porkkala Wind,Cargo,59.9160,24.2672,13.5,86.8,86.8
480,230556677,Emasalo Trader,Tanker,60.0672,25.5812,12.6,287.8,287.8
480,230667788,Suomenlinna Ferry,Passenger,60.1586,24.9624,5.1,330.8,330.8
480,230778899,Archipelago One,Cargo,59.7936,23.8024,14.1,56.8,56.8
480,230889900,Gulf Sentinel,Service,59.9748,25.0736,8.0,133.8,133.8
480,230990011,Baltic Pioneer,Ro-Ro,59.9456,24.8876,19.0,343.8,343.8
480,230101112,Eastern Horizon,Cargo,60.1804,26.4056,15.8,253.8,253.8
480,230121314,Western Beacon,Fishing,59.7348,23.5488,7.3,40.8,40.8
540,230123456,Baltic Aurora,Cargo,60.0513,24.7312,18.0,95.9,95.9
540,230234567,Nordic Current,Passenger,59.8239,24.7474,21.0,26.9,26.9
540,230345678,Gulf Trader,Tanker,59.9272,25.0646,15.5,285.9,285.9
540,230456789,Harbor Scout,Service,60.0658,24.9704,7.5,116.9,116.9
540,230567890,Silver Skerry,Cargo,59.8792,24.3900,13.0,44.9,44.9
540,230678901,Katajanokka Star,Passenger,60.0742,25.0194,12.4,148.9,148.9
540,230789012,Vuosaari Runner,Container,60.1527,25.1182,16.8,247.9,247.9
540,230890123,Hanko Pilot,Service,59.8411,23.2043,9.3,81.9,81.9
540,230901234,Kotka Meridian,Cargo,60.3134,26.7334,14.7,266.9,266.9
540,230112233,Porvoo Light,Tanker,60.1929,25.4318,11.9,312.9,312.9
540,230223344,Espoo Surveyor,Research,60.0205,24.4778,6.8,54.9,54.9
540,230334455,Loviisa Line,Passenger,60.2238,26.1114,18.5,228.9,228.9
540,230445566,Porkkala Wind,Cargo,59.9180,24.2781,13.6,87.9,87.9
540,230556677,Emasalo Trader,Tanker,60.0681,25.5701,12.7,288.9,288.9
540,230667788,Suomenlinna Ferry,Passenger,60.1603,24.9602,5.2,331.9,331.9
540,230778899,Archipelago One,Cargo,59.8003,23.8127,14.2,57.9,57.9
540,230889900,Gulf Sentinel,Service,59.9704,25.0803,8.1,134.9,134.9
540,230990011,Baltic Pioneer,Ro-Ro,59.9538,24.8798,19.1,344.9,344.9
540,230101112,Eastern Horizon,Cargo,60.1767,26.3963,15.9,254.9,254.9
540,230121314,Western Beacon,Fishing,59.7404,23.5524,7.4,41.9,41.9
600,230123456,Baltic Aurora,Cargo,60.0515,24.7425,18.2,97.0,97.0
600,230234567,Nordic Current,Passenger,59.8354,24.7504,21.2,28.0,28.0
600,230345678,Gulf Trader,Tanker,59.9269,25.0540,15.7,287.0,287.0
600,230456789,Harbor Scout,Service,60.0625,24.9793,7.7,118.0,118.0
600,230567890,Silver Skerry,Cargo,59.8880,24.3989,13.2,46.0,46.0
600,230678901,Katajanokka Star,Passenger,60.0680,25.0260,12.6,150.0,150.0
600,230789012,Vuosaari Runner,Container,60.1480,25.1080,17.0,249.0,249.0
600,230890123,Hanko Pilot,Service,59.8440,23.2170,9.5,83.0,83.0
600,230901234,Kotka Meridian,Cargo,60.3110,26.7210,14.9,268.0,268.0
600,230112233,Porvoo Light,Tanker,60.1960,25.4220,12.1,314.0,314.0
600,230223344,Espoo Surveyor,Research,60.0250,24.4820,7.0,56.0,56.0
600,230334455,Loviisa Line,Passenger,60.2170,26.1060,18.7,230.0,230.0
600,230445566,Porkkala Wind,Cargo,59.9200,24.2890,13.8,89.0,89.0
600,230556677,Emasalo Trader,Tanker,60.0690,25.5590,12.9,290.0,290.0
600,230667788,Suomenlinna Ferry,Passenger,60.1620,24.9580,5.4,333.0,333.0
600,230778899,Archipelago One,Cargo,59.8070,23.8230,14.4,59.0,59.0
600,230889900,Gulf Sentinel,Service,59.9660,25.0870,8.3,136.0,136.0
600,230990011,Baltic Pioneer,Ro-Ro,59.9620,24.8720,19.3,346.0,346.0
600,230101112,Eastern Horizon,Cargo,60.1730,26.3870,16.1,256.0,256.0
600,230121314,Western Beacon,Fishing,59.7460,23.5560,7.6,43.0,43.0
